student_id,school_type,family_income
S1310,Public,Medium
S1311,Private,Low
S1312,Public,Low
S1313,International,High
S1314,Public,High
S1315,Private,Medium
S1316,Private,Low
S1317,Public,Low
S1318,International,Low
S1319,Public,High
S1320,Private,Low
S1321,Public,High
S1322,Private,High
S1323,Private,High
S1324,Private,Low
S1325,Public,Medium
S1326,Private,High
S1327,Public,Medium
S1328,Private,Medium
S1329,Private,Medium
S1330,Private,High
S1331,Private,Medium
S1332,International,High
S1333,Private,High
S1334,International,High
S1335,Public,Low
S1336,Public,High
S1337,Public,High
S1338,Private,Low
S1339,Public,High
S1340,International,High
S1341,Private,Low
S1342,Private,Low
S1343,International,Medium
S1344,Public,Medium
S1345,Public,Low
S1346,International,High
S1347,International,Low
S1348,Public,High
S1349,Private,Low
S1350,International,Medium
S1351,International,High
S1352,Public,High
S1353,International,Medium
S1354,Public,High
S1355,Public,Low
S1356,Private,High
S1357,Public,Medium
S1358,International,High
S1359,Public,Low
S1360,Public,High
S1361,International,High
S1362,Public,High
S1363,Public,Low
S1364,Private,Medium
S1365,International,High
S1366,International,High
S1367,Private,Low
S1368,International,Medium
S1369,Private,Medium
S1370,Public,High
S1371,Public,Medium
S1372,International,Low
S1373,Private,Medium
S1374,Public,Low
S1375,Private,Low
S1376,Private,Medium
S1377,Public,High
S1378,Public,Medium
S1379,Public,Medium
S1380,International,High
S1381,Public,Low
S1382,International,High
S1383,Private,Low
S1384,International,Medium
S1385,Public,Low
S1386,International,Medium
S1387,International,Low
S1388,Public,Medium
S1389,International,Low
S1390,International,Low
S1391,International,Medium
S1392,Public,Low
S1393,Public,Medium
S1394,Private,Low
S1395,Public,High
S1396,Private,Medium
S1397,International,Low
S1398,Private,High
S1399,Private,High
S1400,Public,Medium
S1401,International,Medium
S1402,International,Medium
S1403,Public,Medium
S1404,Private,Low
S1405,Private,Medium
S1406,Public,High
S1407,International,Low
S1408,Public,Medium
S1409,Public,High
S1410,International,Low
S1411,International,High
S1412,International,Medium
S1413,Private,Medium
S1414,Private,High
S1415,Public,High
S1416,Private,Medium
S1417,Private,Low
S1418,International,High
S1419,Private,Low
S1420,Public,High
S1421,Public,High
S1422,Public,Low
S1423,Public,High
S1424,International,High
S1425,Private,Low
S1426,Private,Low
S1427,Public,High
S1428,International,Low
S1429,Private,Low
S1430,Public,High
S1431,International,Medium
S1432,International,Low
S1433,Private,Low
S1434,Public,High
S1435,International,High
S1436,Public,High
S1437,International,High
S1438,Private,High
S1439,International,Medium
S1440,Public,Medium
S1441,Public,Low
S1442,Private,High
S1443,Private,Medium
S1444,Public,Low
S1445,Private,Low
S1446,Private,High
S1447,Private,High
S1448,Private,Low
S1449,Public,Low
S1450,Private,Low
S1451,International,Low
S1452,Private,Medium
S1453,Public,Medium
S1454,International,Medium
S1455,International,Low
S1456,International,Low
S1457,Public,High
S1458,International,Low
S1459,International,Low
S1460,Public,Low
S1461,International,High
S1462,Private,Low
S1463,International,Low
S1464,Private,Low
S1465,Public,Medium
S1466,International,Medium
S1467,Private,Low
S1468,Private,High
S1469,International,Medium
S1470,International,Low
S1471,Public,Low
S1472,Private,Low
S1473,Public,Low
S1474,Private,Low
S1475,Private,Medium
S1476,Private,Low
S1477,Private,Low
S1478,International,Low
S1479,International,High
S1480,International,Medium
S1481,Public,High
S1482,International,Medium
S1483,Private,Low
S1484,Private,High
S1485,Public,High
S1486,International,Medium
S1487,Public,Low
S1488,International,High
S1489,International,Medium
S1490,International,Medium
S1491,Private,Low
S1492,International,High
S1493,International,Medium
S1494,Public,Medium
S1495,Private,Medium
S1496,Private,Low
S1497,Public,Medium
S1498,International,High
S1499,Public,Low
S1500,International,High
S1501,Public,Medium
S1502,International,Low
S1503,Public,Low
S1504,Private,High
S1505,International,Medium
S1506,Private,Medium
S1507,Public,High
S1508,Private,High
S1509,International,Low
S1510,Public,High
S1511,Public,Medium
S1512,Public,Medium
S1513,Private,Medium
S1514,International,Medium
S1515,Public,Low
S1516,Public,Low
S1517,International,Low
S1518,Private,High
S1519,Private,Low
S1520,Private,Medium
S1521,International,Low
S1522,Public,Medium
S1523,Private,Medium
S1524,Private,Medium
S1525,Private,High
S1526,Private,High
S1527,Public,Low
S1528,Private,Low
S1529,International,Medium
S1530,Public,Medium
S1531,International,High
S1532,Private,High
S1533,Private,Low
S1534,Private,High
S1535,International,Low
S1536,Public,High
S1537,Private,High
S1538,International,High
S1539,International,Low
S1540,International,Low
S1541,Private,High
S1542,Public,Low
S1543,International,Low
S1544,International,Low
S1545,International,Medium
S1546,Public,Medium
S1547,Private,High
S1548,International,Medium
S1549,Private,Medium
S1550,Public,Low
S1551,Public,High
S1552,Private,Medium
S1553,Private,Low
S1554,Public,High
S1555,Public,Low
S1556,Private,High
S1557,International,High
S1558,Private,Low
S1559,Public,Medium
S1560,International,High
S1561,International,High
S1562,Private,Medium
S1563,Public,High
S1564,International,Medium
S1565,Public,Medium
S1566,Public,High
S1567,International,Low
S1568,International,High
S1569,Private,Low
S1570,Public,Low
S1571,International,High
S1572,Private,High
S1573,Public,High
S1574,Public,High
S1575,Public,Medium
S1576,Public,Medium
S1577,Public,Medium
S1578,International,Low
S1579,Private,Low
S1580,Private,High
S1581,Public,Low
S1582,Private,Medium
S1583,Public,High
S1584,International,High
S1585,Private,Low
S1586,International,Medium
S1587,Private,Medium
S1588,Public,High
S1589,Public,Low
S1590,Private,Medium
S1591,International,Medium
S1592,Private,High
S1593,Public,Medium
S1594,Public,Medium
S1595,Public,Medium
S1596,Public,Low
S1597,Public,High
S1598,International,High
S1599,Private,High
S1600,Public,High
S1601,Private,Medium
S1602,Public,Low
S1603,Public,Medium
S1604,Private,Medium
S1605,Private,Medium
S1606,Private,Low
S1607,Private,High
S1608,International,Medium
S1609,Public,Medium
S1610,Public,High
S1611,Public,Medium
S1612,International,Medium
S1613,Private,High
S1614,Public,Medium
S1615,Private,High
S1616,Private,Medium
S1617,Public,Medium
S1618,Private,Low
S1619,International,Low
S1620,Private,Medium
S1621,Public,Medium
S1622,Public,Medium
S1623,Private,High
S1624,International,High
S1625,Private,Medium
S1626,Private,High
S1627,Private,Medium
S1628,International,Medium
S1629,Public,High
S1630,Private,Low
S1631,Public,High
S1632,International,High
S1633,Public,Low
S1634,International,Low
S1635,Public,Low
S1636,Private,High
S1637,Private,Low
S1638,Private,Low
S1639,Private,High
S1640,International,Low
S1641,Private,Medium
S1642,Private,Low
S1643,Private,High
S1644,International,High
S1645,Private,Low
S1646,International,High
S1647,Public,Low
S1648,International,Low
S1649,Private,Low
S1650,Public,Low
S1651,Private,High
S1652,International,Low
S1653,International,High
S1654,Public,Medium
S1655,International,Low
S1656,Private,Medium
S1657,Private,Low
S1658,Private,Medium
S1659,Public,Medium
S1660,Public,High
S1661,International,Low
S1662,Public,Medium
S1663,Public,Low
S1664,Public,Medium
S1665,International,Medium
S1666,Private,High
S1667,Private,High
S1668,Private,Low
S1669,Public,High
S1670,Private,Medium
S1671,International,Medium
S1672,Private,Medium
S1673,Public,High
S1674,Public,High
S1675,Public,Medium
S1676,Public,Medium
S1677,Private,High
S1678,International,Medium
S1679,International,Low
S1680,International,Low
S1681,International,Medium
S1682,Private,High
S1683,International,Low
S1684,Private,Medium
S1685,Public,Low
S1686,Public,Low
S1687,International,Medium
S1688,Public,Medium
S1689,International,High
S1690,International,High
S1691,International,High
S1692,Private,Medium
S1693,International,Medium
S1694,Public,Low
S1695,Public,Medium
S1696,International,High
S1697,Public,Medium
S1698,International,High
S1699,Private,Medium
S1700,Public,Medium
S1701,Public,Medium
S1702,Public,High
S1703,Public,Medium
S1704,Public,High
S1705,International,Medium
S1706,Public,Medium
S1707,International,Medium
S1708,International,Low
S1709,Private,Low
S1710,Private,Medium
S1711,Public,Medium
S1712,Public,High
S1713,International,High
S1714,International,Low
S1715,Public,Low
S1716,Public,Medium
S1717,Private,Low
S1718,Public,High
S1719,International,Low
S1720,International,Low
S1721,Private,Medium
S1722,Private,High
S1723,Private,High
S1724,Public,High
S1725,Public,Low
S1726,Private,High
S1727,International,High
S1728,International,High
S1729,Private,Low
S1730,Private,Medium
S1731,Public,Low
S1732,Private,High
S1733,Public,Low
S1734,International,Medium
S1735,Private,Medium
S1736,Private,Low
S1737,Public,Medium
S1738,Public,High
S1739,Private,Low
S1740,Public,Medium
S1741,International,Low
S1742,International,Medium
S1743,Public,Medium
S1744,International,Medium
S1745,International,Medium
S1746,Private,Medium
S1747,International,Low
S1748,Private,High
S1749,Public,Low
S1750,International,Low
S1751,International,High
S1752,Public,Low
S1753,Public,High
S1754,International,Low
S1755,Private,Medium
S1756,Public,High
S1757,Private,Medium
S1758,International,Medium
S1759,Private,Medium
S1760,International,High
S1761,Private,Medium
S1762,Private,Medium
S1763,Public,High
S1764,Private,Medium
S1765,Private,Low
S1766,International,High
S1767,International,High
S1768,International,Low
S1769,Public,Medium
S1770,Public,Low
S1771,Private,Medium
S1772,International,Medium
S1773,Private,High
S1774,Private,Medium
S1775,International,Medium
S1776,Private,Low
S1777,Private,High
S1778,Private,Low
S1779,Public,Medium
S1780,Private,Medium
S1781,Private,High
S1782,International,High
S1783,Private,Low
S1784,Public,Low
S1785,Private,Medium
S1786,International,Low
S1787,Public,High
S1788,Public,Medium
S1789,Private,Medium
S1790,Public,High
S1791,International,High
S1792,Private,Medium
S1793,Private,Medium
S1794,Public,High
S1795,International,Low
S1796,International,Low
S1797,International,High
S1798,Public,Medium
S1799,Private,High
S1800,International,Medium
S1801,International,Low
S1802,Private,Medium
S1803,Private,Medium
S1804,Public,Low
S1805,Public,High
S1806,Private,High
S1807,Public,Medium
S1808,International,Low
S1809,International,High
S1810,Private,High
S1811,Private,High
S1812,Private,High
S1813,International,Low
S1814,Public,Low
S1815,International,High
S1816,International,Low
S1817,Private,Low
S1818,International,Low
S1819,International,Low
S1820,Private,Medium
S1821,Private,Medium
S1822,Public,High
S1823,Public,High
S1824,Public,Medium
S1825,Private,Medium
S1826,International,Low
S1827,International,Low
S1828,Public,Low
S1829,Private,Medium
S1830,Public,Low
S1831,Public,Low
S1832,International,Medium
S1833,Public,Medium
S1834,International,Medium
S1835,Public,Low
S1836,Private,Low
S1837,Private,High
S1838,Private,Medium
S1839,Private,Medium
S1840,International,High
S1841,Private,High
S1842,International,Medium
S1843,Private,Medium
S1844,Private,Medium
S1845,International,Low
S1846,International,High
S1847,Public,Medium
S1848,International,Medium
S1849,Public,Medium
S1850,Public,Medium
S1851,International,Medium
S1852,Public,Medium
S1853,Public,Medium
S1854,Private,High
S1855,Public,Low
S1856,International,Low
S1857,Private,Medium
S1858,Public,Medium
S1859,International,Low
S1860,Public,High
S1861,Public,Low
S1862,Private,Low
S1863,International,Low
S1864,Public,High
S1865,Public,Low
S1866,International,Medium
S1867,International,High
S1868,Public,Low
S1869,International,High
S1870,Public,High
S1871,Public,Medium
S1872,Public,Low
S1873,International,Low
S1874,International,Medium
S1875,Public,Medium
S1876,Public,High
S1877,International,Low
S1878,Public,High
S1879,Private,Medium
S1880,Public,Medium
S1881,Private,High
S1882,Public,Medium
S1883,Public,High
S1884,International,High
S1885,Private,Low
S1886,International,Low
S1887,Private,Medium
S1888,International,High
S1889,International,Medium
S1890,International,Medium
S1891,International,Low
S1892,International,Medium
S1893,Private,High
S1894,International,Low
S1895,International,High
S1896,Private,Low
S1897,Private,Low
S1898,International,Low
S1899,Public,Medium
S1900,Private,Medium
S1901,International,Medium
S1902,International,High
S1903,International,High
S1904,Public,Low
S1905,International,Medium
S1906,Private,Low
S1907,International,Medium
S1908,International,High
S1909,Private,Low
S1910,International,Low
S1911,Public,Low
S1912,International,High
S1913,Public,Medium
S1914,Public,Low
S1915,Public,High
S1916,Public,Medium
S1917,Private,High
S1918,Private,Medium
S1919,International,High
S1920,Private,Medium
S1921,Public,High
S1922,Private,High
S1923,Private,Medium
S1924,International,High
S1925,International,Low
S1926,International,Low
S1927,Private,Medium
S1928,Public,Low
S1929,Public,Low
S1930,Private,Low
S1931,Private,Low
S1932,Private,Medium
S1933,International,Medium
S1934,Private,High
S1935,Private,Low
S1936,Private,High
S1937,International,Medium
S1938,International,High
S1939,Public,High
S1940,Private,Medium
S1941,Private,High
S1942,International,Low
S1943,Private,Medium
S1944,International,Medium
S1945,Private,Medium
S1946,International,Low
S1947,Private,High
S1948,International,High
S1949,Public,High
S1950,International,Medium
S1951,International,Medium
S1952,International,Medium
S1953,International,Medium
S1954,Public,Low
S1955,Public,Low
S1956,International,Medium
S1957,Public,Medium
S1958,International,High
S1959,International,Medium
S1960,Public,High
S1961,International,High
S1962,International,High
S1963,International,High
S1964,Private,Low
S1965,Public,Medium
S1966,Public,Medium
S1967,Public,Medium
S1968,International,Medium
S1969,Private,Low
S1970,Public,Medium
S1971,Public,High
S1972,International,High
S1973,Private,Medium
S1974,Private,Low
S1975,International,Medium
S1976,Public,Medium
S1977,Public,Medium
S1978,International,Low
S1979,International,Medium
S1980,Private,Medium
S1981,Private,High
S1982,Private,High
S1983,Public,Low
S1984,Private,Low
S1985,Public,Medium
S1986,International,Low
S1987,Public,Medium
S1988,Public,Medium
S1989,Public,High
S1990,International,Medium
S1991,Private,High
S1992,Public,Low
S1993,Public,Medium
S1994,Public,High
S1995,Private,High
S1996,Private,Low
S1997,Public,Medium
S1998,Private,Medium
S1999,Private,Low
